NOMEN_PK,CODE,NAME,START_DATE,END_DATE,CREATED_DTM,LAST_UPDATED_DTM,IS_CF_WORKFLOW,IS_INTEGRATED_WORKFLOW
10,AB,ALBA,1/1/2006,,8/10/2015 6:23 PM,,0,0
29,AR,ARAD,1/1/2006,,8/10/2015 6:23 PM,,0,0
38,AG,ARGES,1/1/2006,,8/10/2015 6:23 PM,,0,0
47,BC,BACAU,1/1/2006,,8/10/2015 6:23 PM,,0,0
56,BH,BIHOR,1/1/2006,,8/10/2015 6:23 PM,,0,0
65,BN,BISTRITA–NASAUD,1/1/2006,,8/10/2015 6:23 PM,,0,0
74,BT,BOTOSANI,1/1/2006,,8/10/2015 6:23 PM,,0,0
83,BV,BRASOV,1/1/2006,,8/10/2015 6:23 PM,,0,0
92,BR,BRAILA,1/1/2006,,8/10/2015 6:23 PM,,0,0
109,BZ,BUZAU,1/1/2006,,8/10/2015 6:23 PM,,0,0
118,CS,CARAS–SEVERIN,1/1/2006,,8/10/2015 6:23 PM,,0,0
127,CJ,CLUJ,1/1/2006,,8/10/2015 6:23 PM,,0,0
136,CT,CONSTANTA,1/1/2006,,8/10/2015 6:23 PM,,0,0
145,CV,COVASNA,1/1/2006,,8/10/2015 6:23 PM,,0,0
154,DB,DAMBOVITA,1/1/2006,,8/10/2015 6:23 PM,,0,0
163,DJ,DOLJ,1/1/2006,,8/10/2015 6:23 PM,,0,0
172,GL,GALATI,1/1/2006,,8/10/2015 6:23 PM,,0,0
181,GJ,GORJ,1/1/2006,,8/10/2015 6:23 PM,,0,0
190,HR,HARGHITA,1/1/2006,,8/10/2015 6:23 PM,,0,0
207,HD,HUNEDOARA,1/1/2006,,8/10/2015 6:23 PM,,0,0
216,IL,IALOMITA,1/1/2006,,8/10/2015 6:23 PM,,0,0
225,IS,IASI,1/1/2006,,8/10/2015 6:23 PM,,0,0
234,IF,ILFOV,1/1/2006,,8/10/2015 6:23 PM,,0,0
243,MM,MARAMURES,1/1/2006,,8/10/2015 6:23 PM,,0,0
252,MH,MEHEDINTI,1/1/2006,,8/10/2015 6:23 PM,,0,0
261,MS,MURES,1/1/2006,,8/10/2015 6:23 PM,,0,0
270,NT,NEAMT,1/1/2006,,8/10/2015 6:23 PM,,0,0
289,OT,OLT,1/1/2006,,8/10/2015 6:23 PM,,0,0
298,PH,PRAHOVA,1/1/2006,,8/10/2015 6:23 PM,,0,0
305,SM,SATU MARE,1/1/2006,,8/10/2015 6:23 PM,,0,0
314,SJ,SALAJ,1/1/2006,,8/10/2015 6:23 PM,,0,0
323,SB,SIBIU,1/1/2006,,8/10/2015 6:23 PM,,0,0
332,SV,SUCEAVA,1/1/2006,,8/10/2015 6:23 PM,,0,0
341,TR,TELEORMAN,1/1/2006,,8/10/2015 6:23 PM,,0,0
350,TM,TIMIS,1/1/2006,,8/10/2015 6:23 PM,,0,0
369,TL,TULCEA,1/1/2006,,8/10/2015 6:23 PM,,0,0
378,VS,VASLUI,1/1/2006,,8/10/2015 6:23 PM,,0,0
387,VL,VALCEA,1/1/2006,,8/10/2015 6:23 PM,,0,0
396,VN,VRANCEA,1/1/2006,,8/10/2015 6:23 PM,,0,0
403,B,BUCURESTI,1/1/2006,,8/10/2015 6:23 PM,,0,0
519,CL,CALARASI,1/1/2006,,8/10/2015 6:23 PM,,0,0
528,GR,GIURGIU,1/1/2006,,8/10/2015 6:23 PM,,0,0
1,1,ANCPI,1/1/2006,,8/10/2015 6:24 PM,,0,0
0,0,Fictiv,1/1/2006,,9/23/2015 2:26 PM,,0,0
