NOMEN_PK,CODE,COUNTY_ID,NAME,SIRUTA,NEXT_LAND_NO,IS_MOST_USED,HAS_GENERAL_CADASTRE,SPECIAL_AREA,START_DATE,END_DATE,CREATED_DTM,LAST_UPDATED_DTM,INITIAL_IDENTIFIER,NEXT_DISPUTE_NO
35090,35090,65,Tiha Bârgăului,35090,31335,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 3:08 PM,25000,1
35312,35312,65,Urmeniș,35312,25742,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/25/2025 3:23 PM,25000,1
32483,32483,65,Beclean,32483,31338,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 12:57 PM,25000,1
32660,32660,65,Braniștea,32660,26410,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/13/2025 11:26 AM,25001,1
32811,32811,65,Căianu Mic,32811,26525,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/19/2025 10:03 AM,25000,4
33015,33015,65,Chiochiș,33015,26885,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/24/2025 12:00 PM,25000,54
33122,33122,65,Chiuza,33122,27042,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/25/2025 4:06 PM,25000,1
32955,32955,65,Ciceu-Giurgești,32955,25447,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 11:58 AM,25000,1
33435,33435,65,Lechința,33435,44108,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 2:52 PM,25000,3841
179659,179659,65,Negrilesti,179659,25541,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 2:41 PM,25000,1
34075,34075,65,Nușeni,34075,26506,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 11:56 AM,25000,1
34173,34173,65,Petru Rareș,34173,32820,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/5/2025 9:47 PM,25000,1531
34618,34618,65,Șanț,34618,28678,0,0,1,1/1/2006,,8/10/2015 6:44 PM,10/31/2025 9:43 AM,25000,417
34770,34770,65,Șieu-Odorhei,34770,27751,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 2:19 PM,25000,39
34903,34903,65,Șintereag,34903,29055,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/19/2025 1:47 PM,25000,4
35152,35152,65,Târlișua,35152,26429,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/25/2025 3:41 PM,25000,1
33177,33177,65,Coșbuc,33177,26113,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 9:24 AM,25000,22
33202,33202,65,Dumitra,33202,29517,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/6/2025 4:06 PM,25000,1
33248,33248,65,Feldru,33248,30677,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 2:15 PM,25000,1
33337,33337,65,Ilva Mare,33337,30466,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/7/2025 11:29 AM,25000,53
33603,33603,65,Lunca Ilvei,33603,30757,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 10:07 AM,25000,1
33621,33621,65,Maieru,33621,34599,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 9:53 AM,25000,126
33729,33729,65,Măgura Ilvei,33729,28495,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 9:35 AM,25000,1
32544,32544,65,Năsăud,32544,34378,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 8:34 AM,25000,19
33989,33989,65,Nimigea,33989,28355,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 2:10 PM,25000,1
34155,34155,65,Parva,34155,25885,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 10:16 AM,25000,1
179720,179720,65,Poiana  Ilvei,179720,29738,0,0,0,1/1/2006,,8/10/2015 6:44 PM,10/7/2025 3:23 PM,25000,893
34262,34262,65,Rebra,34262,27810,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/25/2025 9:47 AM,25000,24
34333,34333,65,Rodna,34333,30258,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/30/2025 5:54 AM,25000,84
34360,34360,65,Romuli,34360,30476,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 9:06 AM,25000,881
34397,34397,65,Salva,34397,31136,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/11/2025 9:55 AM,25000,589
32599,32599,65,Sângeorz-Băi,32599,34205,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/30/2025 5:21 AM,25000,14
35054,35054,65,Telciu,35054,33767,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/19/2025 10:46 AM,25000,2267
65,65,65,UAT_Neidentificat,65,25000,0,0,0,1/1/2006,,8/10/2015 6:44 PM,,,1
179944,179944,65,Runcu Salvei,179944,28208,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/19/2025 8:45 AM,25000,114
179953,179953,65,Ciceu-Mihaiesti,179953,26293,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/12/2025 12:31 PM,25000,5
39983,39983,74,Blândești,39983,52347,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 11:01 AM,50000,8
35731,35731,74,Botoșani,35731,72744,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 1:25 PM,50000,3
36426,36426,74,Broscăuți,36426,53574,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:46 PM,50000,1
36453,36453,74,Bucecea,36453,55500,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 2:53 PM,50001,17
39967,39967,74,Cândești,39967,53848,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 9:55 AM,50000,201
36499,36499,74,Călărași,36499,53161,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 12:46 PM,50000,1
36532,36532,74,Concești,36532,53509,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 10:20 AM,50000,1
36569,36569,74,Copălău,36569,55584,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 10:36 AM,50000,16
36649,36649,74,Cordăreni,36649,57386,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 3:23 PM,50000,21
36676,36676,74,Corlăteni,36676,54177,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:15 PM,50000,36
36756,36756,74,Corni,36756,57267,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 8:52 AM,50000,40
39975,39975,74,Coșula,39975,59157,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 4:40 PM,50000,310
36809,36809,74,Coțușca,36809,64634,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:30 PM,50000,15
36907,36907,74,Cristești,36907,55995,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 1:33 PM,50000,26
36952,36952,74,Cristinești,36952,55367,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 10:47 AM,50000,2
37057,37057,74,Dângeni,37057,53134,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 1:39 PM,50000,5
37011,37011,74,Dersca,37011,52483,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 11:38 AM,50000,66
39959,39959,74,Dimăcheni,39959,54689,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 1:44 PM,50000,5
37100,37100,74,Dobârceni,37100,52518,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 11:21 AM,50000,1
36006,36006,74,Dorohoi,36006,60106,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 11:54 AM,50000,2
37173,37173,74,Drăgușeni,37173,59105,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 7:40 AM,50000,1
37280,37280,74,Flămânzi,37280,57586,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 8:15 AM,50000,7
37324,37324,74,Frumușica,37324,54192,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:21 PM,50000,2
37397,37397,74,George Enescu,37397,55210,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 11:33 AM,50000,8
37459,37459,74,Gorbănești,37459,55517,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 3:06 PM,50000,28
37547,37547,74,Havârna,37547,54836,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 1:09 PM,50000,1
37618,37618,74,Hănești,37618,52364,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 3:33 PM,50000,1
37672,37672,74,Hilișeu-Horia,37672,52753,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 11:24 AM,50000,48
37734,37734,74,Hlipiceni,37734,53271,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:35 PM,50000,1
37770,37770,74,Hudești,37770,55646,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:34 PM,50000,8
37823,37823,74,Ibănești,37823,56108,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 11:24 AM,50000,12
37850,37850,74,Leorda,37850,52638,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:11 PM,50000,13
37912,37912,74,Lunca,37912,57216,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 11:16 AM,50000,1
37958,37958,74,Manoleasa,37958,54848,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/19/2025 11:25 AM,50000,1
38063,38063,74,Mihai Eminescu,38063,80125,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 10:06 AM,50000,1336
38161,38161,74,Mihăileni,38161,52147,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 1:04 PM,50000,1
38241,38241,74,Mihălășeni,38241,58584,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 10:00 AM,50001,2
38321,38321,74,Mileanca,38321,53216,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 8:35 AM,50000,1
38456,38456,74,Nicșeni,38456,53340,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:58 PM,50000,1
38544,38544,74,Pomârla,38544,52776,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 9:55 AM,50000,2
38580,38580,74,Prăjeni,38580,52917,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:14 PM,50000,1
35839,35839,74,Răchiți,35839,58532,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 9:42 AM,50000,3
38633,38633,74,Rădăuți-Prut,38633,55898,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:44 PM,50000,1
38679,38679,74,Răuseni,38679,52755,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 10:14 AM,50000,1
38731,38731,74,Ripiceni,38731,53455,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:05 PM,50000,5
38811,38811,74,Roma,38811,53608,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 10:12 AM,50000,1
38848,38848,74,Românești,38848,55380,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/24/2025 12:28 PM,50000,7
38893,38893,74,Santa Mare,38893,52789,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/25/2025 10:02 AM,50000,1
36060,36060,74,Săveni,36060,54678,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 7:53 AM,50000,13
38982,38982,74,Suharău,38982,53677,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 10:14 AM,50000,1
39051,39051,74,Sulița,39051,53622,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:12 PM,50000,7
39168,39168,74,Ștefănești,39168,60439,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:47 PM,50000,5
39220,39220,74,Știubieni,39220,54434,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/24/2025 1:41 PM,50000,18
39266,39266,74,Todireni,39266,57303,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:53 PM,50000,105
39328,39328,74,Trușești,39328,56675,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:00 PM,50000,49
39391,39391,74,Tudora,39391,53319,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 11:25 AM,50000,1
39417,39417,74,Ungureni,39417,56673,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 8:06 AM,50000,1
39694,39694,74,Vârfu Câmpului,39694,54451,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 11:42 AM,50000,1
39612,39612,74,Văculești,39612,54226,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:37 PM,50000,2
39658,39658,74,Viișoara,39658,54890,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 8:34 AM,50000,48
39738,39738,74,Vlădeni,39738,70857,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 10:24 AM,50000,713
39792,39792,74,Vlăsinești,39792,60615,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 8:01 AM,50000,21
39836,39836,74,Vorniceni,39836,52901,0,0,1,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:23 PM,50000,1
36131,36131,74,Albești,36131,55328,0,0,2,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:41 PM,50000,1
1017,1017,10,Alba Iulia,1017,125877,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 10:45 AM,70000,54
2309,2309,10,Almașu Mare,2309,74972,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/25/2025 9:33 AM,70000,265
2988,2988,10,Berghin,2988,81076,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 12:53 PM,70000,1573
3397,3397,10,Blandiana,3397,71558,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 9:59 AM,70000,1
1071,1071,10,Ciugud,1071,91248,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/24/2025 11:43 AM,70000,1
4142,4142,10,Cricău,4142,76454,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 1:04 PM,70000,1340
1696,1696,10,Cugir,1696,84903,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 2:35 PM,70000,176
4366,4366,10,Galda de Jos,4366,82680,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 1:04 PM,70000,266
4927,4927,10,Ighiu,4927,98847,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 2:02 PM,70000,1
4981,4981,10,Întregalde,4981,74758,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/24/2025 9:25 AM,70000,926
5700,5700,10,Mihalț,5700,84385,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 10:40 AM,70000,8321
7384,7384,10,Sântimbru,7384,85986,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/14/2025 1:19 PM,70000,1
7044,7044,10,Săliștea,7044,75260,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/13/2025 12:56 PM,70000,116
7810,7810,10,Șibot,7810,79809,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 8:43 AM,70000,540
8826,8826,10,Vințu de Jos,8826,80392,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 12:07 PM,70000,1
1936,1936,10,Zlatna,1936,82306,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:50 PM,70000,584
1213,1213,10,Aiud,1213,100127,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 10:48 AM,70000,483
4302,4302,10,Fărău,4302,72951,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/25/2025 1:38 PM,70000,130
4703,4703,10,Hopârta,4703,76073,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/24/2025 2:43 PM,70000,33
5167,5167,10,Livezile,5167,75029,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 11:27 AM,70000,480
5210,5210,10,Lopadea Nouă,5210,76072,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/25/2025 11:18 AM,70000,180
5309,5309,10,Lunca Mureșului,5309,74953,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/11/2025 3:32 PM,70000,947
5755,5755,10,Mirăslău,5755,82840,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/21/2025 9:52 AM,70000,4885
6048,6048,10,Noșlac,6048,75119,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/25/2025 8:48 AM,70000,460
1794,1794,10,Ocna Mureș,1794,86439,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 9:35 AM,70000,357
6547,6547,10,Rădești,6547,76852,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 10:52 AM,70000,1894
7767,7767,10,Stremț,7767,77792,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/26/2025 10:47 AM,70000,166
8096,8096,10,Teiuș,8096,81093,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 12:34 PM,70000,340
8158,8158,10,Unirea,8158,94885,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/17/2025 10:02 AM,70000,11681
1348,1348,10,Blaj,1348,83707,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:41 PM,70000,128
3761,3761,10,Cenade,3761,76725,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 12:29 PM,70000,104
3805,3805,10,Cergău,3805,74440,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/5/2025 2:57 PM,70001,220
3841,3841,10,Ceru-Băcăinți,3841,71205,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 9:46 AM,70001,225
3958,3958,10,Cetatea de Baltă,3958,84039,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/13/2025 10:19 AM,70000,426
4188,4188,10,Crăciunelu de Jos,4188,73143,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/27/2025 9:17 AM,70000,37
5103,5103,10,Jidvei,5103,84396,0,0,0,1/1/2006,,8/10/2015 6:44 PM,11/28/2025 10:39 AM,70000,113
